Unit ID,Display Name,Notes,Talent Branch,Talent Tier,Number Position,Talent Branch Dependant?,What does this number mean?,Scaling Formula / Pattern,Min Observed Value,Max Observed Value,Max Observed Value,Higher = Stronger?,Interaction with other numbers,Research Status,Source / Evidence
riding_hood,Riding Hood,"R branch Alpha Wolf only — makes charge counter shared across all Riding Hoods on field; ability milestones at 1 5 20 and 40 charges",R,1,,Yes,"Shared wolf charge count across all Riding Hoods; +1.5% damage per charge up to 40; after 40 each charge gives +0.5%; new abilities unlock at 1 5 20 and 40","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":40,""weight"":1.0},{""from"":40,""to"":200,""weight"":0.33}]}",0,150,150,Yes,,In Progress,Talent tree screenshots
twilight_ranger,Twilight Ranger,"Soul counter applies to both L and R branches; both get major buff at 50; tier 4 Crown of Darkness adds a second threshold at 150",,,,No,"Soul count; at 50 souls: major buff triggered (L: +70% attack speed + 2% instant kill chance; R: Magical Shot damage +200%); at 150 souls: +4% crit chance + 30% Magical Shot damage","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":50,""weight"":1.0},{""from"":50,""to"":150,""weight"":0.7},{""from"":150,""to"":300,""weight"":0.4}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
wukong,Wukong,"Feat Charge counter present for both branches; L milestone at 30 activates Clone Army; R branch every 7 charges grants genuine Wukong a merge rank",,,,No,"Feat Charge count; milestone at 30 triggers Clone Army (max clones increases to 6 and they are summoned); R branch: every 7 charges genuine Wukong gains a merge rank","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":30,""weight"":1.0},{""from"":30,""to"":200,""weight"":0.7}]}",0,150,150,Yes,,In Progress,Talent tree screenshots
bruiser,Bruiser,"L T1 Awakening Rage — Clover counter on Bruiser tile; a Clover is 4 leaves; leaves given by merges and rank-ups nearby; threshold at 50 Clovers",L,1,,Yes,"Whole Clover count on Bruiser tile; each Clover +23% enraged damage up to 50 Clovers; after 50 bonus reduced to +10% per Clover","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":50,""weight"":1.0},{""from"":50,""to"":200,""weight"":0.435}]}",0,100,100,Yes,,In Progress,Talent tree description
bruiser,Bruiser,"R T1 Furious Brotherhood — Clover counter shared across all Bruisers; merging or absorbing a Bruiser gives leaves to 3 random Bruisers; threshold at 40 Clovers",R,1,,Yes,"Whole Clover count on Bruiser tile; each Clover +10% enraged damage to all Bruisers up to 40 Clovers; after 40 bonus reduced to +2% per Clover","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":40,""weight"":1.0},{""from"":40,""to"":200,""weight"":0.2}]}",0,100,100,Yes,,In Progress,Talent tree description
harlequin,Harlequin,"Card counter present for both L and R T1 branches; counter cycles 0 to 5 then resets when exchanged for mana; R T2 Masterful Performance has 40% chance to grant an extra card per copy",,,,No,"Playing card count; cycles from 0 to 5 — at 5 cards the Harlequin exchanges all for mana equal to 100% of summoning cost and counter resets; higher count means mana reward is closer","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":5,""weight"":1.0}]}",0,5,5,Yes,,In Progress,Talent tree description
hunter,Hunter,"L T1 Hunting Season only — trophy counter on Hunter tile; each trophy increases summoned boar health rather than Hunter damage; no explicit threshold",L,1,,Yes,"Trophy count from boss and mini-boss kills (8% chance vs common monsters); each trophy increases boar health sent to opponent by 4%; no documented diminishing-return threshold — treated as linear","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":999,""weight"":1.0}]}",0,100,100,Yes,,In Progress,Talent tree description
hunter,Hunter,"R T1 Large Prey only — trophy counter on individual Hunter tile; threshold at 60 trophies sharp dropoff",R,1,,Yes,"Trophy count per individual Hunter; each trophy +4% damage to this Hunter up to 60 trophies; after 60 trophies bonus drops to +0.5% per trophy","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":60,""weight"":1.0},{""from"":60,""to"":200,""weight"":0.125}]}",0,150,150,Yes,,In Progress,Talent tree description
inquisitor,Inquisitor,"L T1 Knight of Light only — boss kill counter on Knight of Light tile; each boss kill +3.5% damage to Knights; no explicit threshold listed",L,1,,Yes,"Boss kill count on Knight of Light tile; each boss or mini-boss kill +3.5% damage to all active Knights of Light; no diminishing-return threshold in description — treated as linear","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":999,""weight"":1.0}]}",0,100,100,Yes,,In Progress,Talent tree description
inquisitor,Inquisitor,"R T1 Knight of Darkness only — rank absorption counter on Knight of Darkness tile; Knight steals rank from other Inquisitors every 12s; threshold at 30 absorptions",R,1,,Yes,"Rank absorption count on Knight of Darkness tile; each absorbed rank +6% damage to Knight up to 30 absorptions; after 30 absorptions bonus reduced to +3% per absorption","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":30,""weight"":1.0},{""from"":30,""to"":200,""weight"":0.5}]}",0,100,100,Yes,,In Progress,Talent tree description
monk,Monk,"L T1 Blessing only — Orb of Power counter on each Monk tile; orbs transferred to intersection Monk on merge/absorb; no explicit damage threshold in description",L,1,,Yes,"Orb of Power count per individual Monk tile; each orb +6% damage to that Monk; orbs transfer to intersection Monk on merge or absorb; no documented diminishing-return threshold","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":999,""weight"":1.0}]}",0,50,50,Yes,,In Progress,Talent tree description
monk,Monk,"R T1 Equilibrium — cumulative balance sphere trigger count; sphere appears on one random Monk at a time; threshold at 50 triggers where per-trigger bonus drops sharply",R,1,,Yes,"Cumulative balance sphere trigger count (merges and rank-ups while sphere is active); each trigger +9% damage to all Monks up to 50 triggers; after 50 triggers bonus reduced to +2% per trigger","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":50,""weight"":1.0},{""from"":50,""to"":200,""weight"":0.22}]}",0,100,100,Yes,,In Progress,Talent tree description
summoner,Summoner,"L T3 Gift of Ancestors — spirit counter on Oracle/Summoner tile; spirits accumulate from Oracle merges; hard cap at 40; milestone at 10 enables activation via replacement; T4 Fixed adds crit effects per 2 spirits",L,3,,Yes,"Spirit count on Oracle tile; each spirit extends the all-unit damage bonus duration by 0.5s per spirit when Summoner summons; milestone at 10 spirits enables bonus trigger via replacements; hard cap 40","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":10,""weight"":1.0},{""from"":10,""to"":40,""weight"":0.7}]}",0,40,40,Yes,,In Progress,Talent tree description
tesla,Tesla,"R T1 Professor — charge counter on Professor tile; Professor appears when any Tesla merges with R branch; retains charges across deaths; no hard limit; threshold at 68 charges very sharp",R,1,,Yes,"Professor charge count; each charge +0.48% damage to all Teslas scaled by Professor merge rank up to 68 charges; after 68 bonus drops to +0.05% per charge","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":68,""weight"":1.0},{""from"":68,""to"":1000,""weight"":0.10}]}",0,300,300,Yes,,In Progress,Talent tree description
treant,Treant,"L T1 Arboreal Guard — leaf counter on each rank 4+ Treant tile; leaves accumulated from Mana Power-up and Spiny Roots procs; threshold at 30 leaves",L,1,,Yes,"Leaf count per rank 4+ Treant tile; each leaf +7.8% damage to that Treant; after 30 leaves bonus reduced to +3.9% per leaf (rate halved)","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":30,""weight"":1.0},{""from"":30,""to"":200,""weight"":0.5}]}",0,100,100,Yes,,In Progress,Talent tree description
treant,Treant,"R T1 Mycelium Masters — leaf counter on each rank 4+ Treant tile; leaves boost all Treant damage not just the holder; threshold at 70 leaves",R,1,,Yes,"Leaf count per rank 4+ Treant tile; each leaf +1.5% damage to all Treants on field; after 70 leaves bonus reduced to +0.75% per leaf (rate halved)","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":70,""weight"":1.0},{""from"":70,""to"":300,""weight"":0.5}]}",0,150,150,Yes,,In Progress,Talent tree description
valkyrie,Valkyrie,"L T1 Fury of the Fallen — rune counter shared across all Valkyries; earned from Chosen One losses; threshold at 70 runes major power spike; T4 Fixed adds threshold at 150",L,1,,Yes,"Rune count accumulated from Chosen One losses and kills; at 70 runes attack speed bonus doubles to 20% and damage +50%; T4 Fixed: at 150 runes all Valkyries +5% critical damage chance","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":70,""weight"":1.0},{""from"":70,""to"":150,""weight"":0.6},{""from"":150,""to"":500,""weight"":0.3}]}",0,300,300,Yes,,In Progress,Talent tree description
valkyrie,Valkyrie,"R T1 Power of the Leaders — rune counter on Leader Valkyrie tiles; runes earned via Mana Power-up; Chosen One grants 2x runes; T4 Fixed threshold at 150 runes",R,1,,Yes,"Rune count on Leader Valkyrie tiles; Leaders gain increased damage from rune accumulation; T4 Fixed: after 150 runes all Valkyries +5% critical damage chance","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":150,""weight"":1.0},{""from"":150,""to"":500,""weight"":0.4}]}",0,400,400,Yes,,In Progress,Talent tree description
