UNIT REFERENCE,,,TALENT SLOT,,,,MECHANICAL EFFECT,,,,OBSERVABLE SIGNATURES,,,,TRACKING,,
cultist,Cultist,,1,R,9,Harbinger of the Abyss,"Cultists in demon form receive souls when merging or performing a sacrifice. Every 5 souls, a big guardian demon is summoned. Upon death, the demon sets a random unit on fire, reducing its rank. Summoning 4 guardians transforms a demonic Cultist into a Harbinger which receives a soul every 20 sec. In Co-Op and single player modes, guardians grant mana.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
cultist,Cultist,,2,L,11,Great Ritual,"When a Sacrifice is activated, it destroys both Cultists and other units on the field corners. The other units don't grant mana, but they have a 60% chance of granting a soul.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
cultist,Cultist,,2,R,11,Cleansing Sacrifice,"When Sacrifice is activated, every Cultist destroyed will remove the negative effect from 1 random Cultists and will increase its damage by 10% for 10s.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
cultist,Cultist,,3,L,13,Unity of the Cult,"A Cultist in Harbinger form increases its damage by 5% for every Cultist on the field, including Harbingers.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
cultist,Cultist,,3,R,13,Monsters of the Abyss,"When killing monsters, one Cultist in the Harbinger form will have a 30% chance of summoning fast demons on the enemy's path. When a mini boss or a demon guardian appears on the enemy's path, the Cultist in the form of a Harbinger will increase his damage by 25% for 15s. Does not work in Co-Op and single player modes.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
cultist,Cultist,,4,Fixed,15,Flame of the Abyss,"When attacking, Harbinger creates a pulse of fire that lasts 2s. The pulse deals 100% of Cultist's damage value every 0.2s and reduces monster armor in its radius by 40%. There can only be one pulse on the field at a time.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
demon_hunter,Demon Hunter,,1,L,9,Absorption of Evil,"Death of a boss or mini boss will mark a random Hunter of the lowest rank. Merging or absorbing every Hunter with a mark will distribute 3 marks between the Hunters with the highest rank. Damage per mark will increase by 6%, and after 90 marks, it will increase by 1%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
demon_hunter,Demon Hunter,,1,R,9,Twilight Hunting,"The Demon Hunter no longer gets a bonus for her demonic form. 6 Hunters on the field will become Twilight Hunters, increasing their attack speed by 20%. Once every 10s all the regular Demon Hunters will lose their merge rank, marking Twilight Hunters. Damage per mark will increase by 4.2%, and after 60 marks it will increase by 1%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
demon_hunter,Demon Hunter,,2,L,11,Cloak of Shadows,There's a 20% chance of the Demon Hunter cleansing herself of negative effects when they are received.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
demon_hunter,Demon Hunter,,2,R,11,Dark Pact,"Once per wave, when destroying a boss, it will reduce the merge rank of the highest ranked non-Hunter unit, and will apply marks to 3 multiple times the number.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
demon_hunter,Demon Hunter,,3,L,13,Stealth Attack,There's a 7% chance of making an extra attack and inflicting an additional 100% damage to the first target for each merge rank.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
demon_hunter,Demon Hunter,,3,R,13,Shadow Twin,"When a Phantom appears in PvP, each of the 6 Demon Hunters of the highest merge rank creates a Shadow on the path. It copies the wielder's attack. In Co-Op and single player modes, it triggers when the wave's first boss appears. When a mini boss appears, the Shadow has a 10% chance to appear for every Demon Hunter of the highest merge rank. Damage per mark increases by 6%, after 90 marks by 1%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
demon_hunter,Demon Hunter,,4,Fixed,15,Night Parasite,"The Night Parasite invades the heads of the Demon Hunter's enemies, increasing the chance of critical damage to bosses and mini bosses by 5% for all Hunters.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
demonologist,Demonologist,,1,L,9,Archdemon,"The Demonologist has a 35% chance of appearing with the Dark Orb. When merging, this kind of Demonologist summons a big Archdemon in front of the opponent's first monster. The Archdemon increases the armor of monsters around it by 30% in PvP mode, or reduces it by 30% in other modes. The Archdemon's health is increased by 30%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
demonologist,Demonologist,,1,R,9,Multiplication of Evil,"A Demonologist has a 35% chance to appear with a Dark Orb. When merging, this kind of Demonologist summons 2 times more big monsters.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
demonologist,Demonologist,,2,L,11,Art of Shadows,"When using Mana Power-up, the Phantom and monsters on the opponent's field gain armor for 6 sec. It reduces the damage received by 30% in PvP and increases the damage by 30% in other modes.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
demonologist,Demonologist,,2,R,11,Sinister Mastery,"A random Demonologist will receive a Dark Orb either after using a Mana Power-up, or, with a 30% chance, when another Demonologist appears with the Dark Orb.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
demonologist,Demonologist,,3,L,13,Demonic Hordes,Merging a Demonologist that has the Dark Orb summons 2 small Imps to the opponent's side. The health of these Imps increases with the Demonologist's merge rank.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
demonologist,Demonologist,,3,R,13,Magical Pact,"When a Demonologist with the Dark Orb is merged, 3 small monsters per Demonologist's merge rank are instantly destroyed. Merging also increases the damage dealt by the units on the field by 1.5%, up to 90%, and increases the health of summoned monsters in PvP by 2.5%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
demonologist,Demonologist,,4,Fixed,15,Abyssal Portal,"When a Demonologist with the Dark Orb is merged, 3 small monsters per Demonologist's merge rank are instantly destroyed. Merging also increases the damage dealt by the units on the field by 1.5%, up to 90%, and increases the health of summoned monsters in PvP by 2.5%.",,,15,,,,No,Needs Review,In-game screenshot,2026-04-07
dryad,Dryad,,1,L,9,Fairy of Growth,"Dryad has a 20% chance of appearing with the blue fairy, increasing the merge rank of this Dryad, and summons a Dryad of the first merge rank.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
dryad,Dryad,,1,R,9,Fairy of Rage,"Dryad has a 20% chance of appearing with a purple fairy. In this case, increasing merge rank with the Dryad's help will also increase damage for all units on the field by 2%. Additional damage will not exceed 50%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
dryad,Dryad,,2,L,11,Carousel,"If there are three or more Dryads on the field, the chance of a Dryad appearing with a fairy is increased by 75% of current probability.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
dryad,Dryad,,2,R,11,Gift of Nature,"With a Mana Power-up, it gives a fairy to a random Dryad without a fairy and has a 40% chance of giving it to another Dryad.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
dryad,Dryad,,3,L,13,Poisonous Fruit,"Merging a Dryad who has a fairy with another unit will remove its negative effects and will throw a poisonous fruit at 4 of the opponent's units. The fruit reduces the attack speed of the units by 28% for 30s. In Co-Op mode, it increases attack speed for allied player's units, and in single player modes it increases the attack speed of the player's own units.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
dryad,Dryad,,3,R,13,Invigorating Fruit,Merging a Dryad who has a fairy with another unit will remove its negative effects and will throw invigorating fruit at 4 of the player's own units. The fruit increases the chance of inflicting a critical strike for the player's own units by 2% for 30 seconds.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
dryad,Dryad,,4,Fixed,15,Spirits of the Forest,"There's a 25% chance that, instead of an ordinary fairy, the Dryad will receive a golden fairy. When the merge rank of the other units is increased, such a Dryad will increase the merge rank twice. The golden fairy has all the selected fairy effects.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
enchanted_sword,Enchanted Sword,,1,L,9,Ancient Magic,"The first Sword on the field will be an Ancient Sword. Merging 8 swords creates a new Ancient Sword. This Sword attacks the first target and steals all boosts with no restrictions, receiving 200% of each boost's power. Its damage is increased by 100% and attack speed is increased by 150%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
enchanted_sword,Enchanted Sword,,1,R,9,Awakening,"An Awakened Sword has a 20% chance to appear on the field. After merging, this Sword applies its color effect to 3 additional targets.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
enchanted_sword,Enchanted Sword,,2,L,11,Inevitable Exhaustion,"When the Exhaustion effect ends, it has a 30% chance to leave normal weakening on the unit.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
enchanted_sword,Enchanted Sword,,2,R,11,Double Power,Merging a blue Sword has a 15% chance of boosting each target 2 times instead of one.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
enchanted_sword,Enchanted Sword,,3,L,13,Approving Glance,Each buff has a 35% chance to remove negative effects from the target.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
enchanted_sword,Enchanted Sword,,3,R,13,Eternal Gaze,"Once per wave, when the boss is killed, a random blue and random red Sword apply their color effects.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
enchanted_sword,Enchanted Sword,,4,Fixed,15,Growing Supremacy,"Merging units under the effects of the Sword has a 20% chance of transferring them to another unit. Additionally, every red Sword increases damage to all player units by 1%, while the blue Sword increases the attack speed of all units by 1% for every merge rank of that color. Ancient Swords include swords of both colors and get 50% of each bonus.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
engineer,Engineer,,1,L,9,Incendiary Barrage,"Upon appearing, and then once every 30s, the Engineer drops a part that will give a random Engineer and the Engineers near him an attack for a period of 10s, inflicting 40% damage in the area around the target.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
engineer,Engineer,,1,R,9,Fast Recharging,"Upon appearing, and then once every 30s, the Engineer drops a part that will increase the attack speed of a random Engineer and the Engineers near to him by 70% for 10s.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
engineer,Engineer,,2,L,11,Shieldscreen,"Upon hit, the part has a 35% chance of casting a shield on the Engineer, providing protection against one negative effect.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
engineer,Engineer,,2,R,11,Overtime,"There's a 15% chance of a part being able to ricochet into a random Engineer. After the boss appears, there's a 35% chance that the Engineer will drop a part.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
engineer,Engineer,,3,L,13,Optimization,The maximum bonus from connections is achieved with 10 engineers in the chain.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
engineer,Engineer,,3,R,13,Phalanx,"If there are 13 or more engineers in the chain, the bonus from connections is increased by 30%, and gives an extra 5% chance of critical damage.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
engineer,Engineer,,4,Fixed,15,Progress,"Merging will now also spawn a part. In addition, the part has a 10% chance of increasing the Engineer's merge rank.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
franky_and_stein,Franky & Stein,,1,L,9,Fully Charged,"Franky has a 40% chance of being charged when spawning. This kind of Franky reduces the armor of monsters in her area by 12% per merge rank, but only up to a maximum of 60%. Merging a charged Franky summons a charged Robo-Ducky to the opponent's path. Upon death, the Robo-Ducky paralyzes 3 enemy units for 2 seconds. Merging 2 charged Frankies with each other always results in a charged Franky.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
franky_and_stein,Franky & Stein,,1,R,9,Toxic Collective,"Franky has a 40% chance of becoming toxic, capable of biting the units of the same or lower rank, reducing their rank and summoning a monster. Mana Power-up increases the enemies' armor by 0.3% per bolt for 10 sec (max. of 30%). In Co-Op, armor is reduced instead. Merging 2 toxic Frankies always results in a toxic Franky. Max. 5 toxic Frankies.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
