Unit ID,Display Name,Notes,Talent Branch,Talent Tier,Number Position,Talent Branch Dependant?,What does this number mean?,Scaling Formula / Pattern,Min Observed Value,Max Observed Value,Max Observed Value,Higher = Stronger?,Interaction with other numbers,Research Status,Source / Evidence
summoner,Summoner,L T3 Gift of Ancestors — spirit counter on Oracle/Summoner tile; spirits accumulate from Oracle merges; hard cap at 40; milestone at 10 enables activation via replacement; T4 Fixed adds crit effects per 2 spirits,L,3,tile,Yes,Spirit count on Oracle tile; each spirit extends the all-unit damage bonus duration by 0.5s per spirit when Summoner summons; milestone at 10 spirits enables bonus trigger via replacements; hard cap 40,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":10,""weight"":1.0},{""from"":10,""to"":40,""weight"":0.7}]}",0,40,40,Yes,,In Progress,Talent tree description
tesla,Tesla,R T1 Professor — charge counter on Professor tile; Professor appears when any Tesla merges with R branch; retains charges across deaths; no hard limit; threshold at 68 charges very sharp,R,1,tile,Yes,Professor charge count; each charge +0.48% damage to all Teslas scaled by Professor merge rank up to 68 charges; after 68 bonus drops to +0.05% per charge,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":68,""weight"":1.0},{""from"":68,""to"":1000,""weight"":0.10}]}",0,300,300,Yes,,In Progress,Talent tree description
treant,Treant,L T1 Arboreal Guard — leaf counter on each rank 4+ Treant tile; leaves accumulated from Mana Power-up and Spiny Roots procs; threshold at 30 leaves,L,1,tile,Yes,Leaf count per rank 4+ Treant tile; each leaf +7.8% damage to that Treant; after 30 leaves bonus reduced to +3.9% per leaf (rate halved),"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":30,""weight"":1.0},{""from"":30,""to"":200,""weight"":0.5}]}",0,100,100,Yes,,In Progress,Talent tree description
treant,Treant,R T1 Mycelium Masters — leaf counter on each rank 4+ Treant tile; leaves boost all Treant damage not just the holder; threshold at 70 leaves,R,1,tile,Yes,Leaf count per rank 4+ Treant tile; each leaf +1.5% damage to all Treants on field; after 70 leaves bonus reduced to +0.75% per leaf (rate halved),"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":70,""weight"":1.0},{""from"":70,""to"":300,""weight"":0.5}]}",0,150,150,Yes,,In Progress,Talent tree description
valkyrie,Valkyrie,L T1 Fury of the Fallen — rune counter shared across all Valkyries; earned from Chosen One losses; threshold at 70 runes major power spike; T4 Fixed adds threshold at 150,L,1,tile,Yes,Rune count accumulated from Chosen One losses and kills; at 70 runes attack speed bonus doubles to 20% and damage +50%; T4 Fixed: at 150 runes all Valkyries +5% critical damage chance,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":70,""weight"":1.0},{""from"":70,""to"":150,""weight"":0.6},{""from"":150,""to"":500,""weight"":0.3}]}",0,300,300,Yes,,In Progress,Talent tree description
valkyrie,Valkyrie,R T1 Power of the Leaders — rune counter on Leader Valkyrie tiles; runes earned via Mana Power-up; Chosen One grants 2x runes; T4 Fixed threshold at 150 runes,R,1,tile,Yes,Rune count on Leader Valkyrie tiles; Leaders gain increased damage from rune accumulation; T4 Fixed: after 150 runes all Valkyries +5% critical damage chance,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":150,""weight"":1.0},{""from"":150,""to"":500,""weight"":0.4}]}",0,400,400,Yes,,In Progress,Talent tree description
bard,Bard,Inspiration counter shared across all Bards; R T1 Drummer: additional Accordionists unlock at levels 75 150 and 300; T4 Fixed Cacophony activates at 300; L branch gains Inspiration more slowly in Drummer mode,,,tile,No,Inspiration level (cumulative); R branch: each milestone (75/150/300) unlocks additional Accordionists; T4 Fixed: at 300 Inspiration Bard has 4% chance to fire damage clump on attack; higher Inspiration = more active Accordionists and T4 eligibility,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":75,""weight"":1.0},{""from"":75,""to"":150,""weight"":0.7},{""from"":150,""to"":300,""weight"":0.5},{""from"":300,""to"":1000,""weight"":0.3}]}",0,400,400,Yes,,In Progress,Talent tree description
gunslinger,Gunslinger,R T1 Desperado only — Shootout charge counter on Gunslinger tile; gained by moving a rank 2+ Gunslinger to a special tile (unit loses 1 rank and gains rank*2 charges); charges are permanent and accumulate,R,1,tile,Yes,Shootout charge count; each charge +1% damage from basic attacks in Shootout mode; charges accumulate whenever a Gunslinger is sacrificed to a special tile; no documented diminishing-return threshold — treated as linear,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":999,""weight"":1.0}]}",0,100,100,Yes,,In Progress,Talent tree description
meteor,Meteor,R T1 Fiery Bolide only — magma charge counter on Meteor tile (Meteor with Flame Orb); gained from monsters killed by the Bolide; bosses and mini-bosses grant x5 charges; hard cap at 700,R,1,tile,Yes,Magma charge count on Meteor tile; each charge +2.2% damage to this Meteor and +1.5% damage to the Meteorite; hard cap at 700 charges after which no further charges accumulate,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":700,""weight"":1.0}]}",0,700,700,Yes,,In Progress,Talent tree description
phoenix,Phoenix,Flame Particle counter present for both L and R branches; L: at 100 particles critical damage +20%; R: at 100 particles critical damage +35%; T4 Fixed: at 300 particles critical damage chance +5%,,,tile,No,Flame Particle count; milestone at 100 triggers branch-specific crit damage bonus (L: +20% R: +35%); T4 Fixed: milestone at 300 grants +5% critical damage chance to all Phoenixes; particles gained from active state entries immolations and Charges of Awakening,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":100,""weight"":1.0},{""from"":100,""to"":300,""weight"":0.6},{""from"":300,""to"":1000,""weight"":0.3}]}",0,500,500,Yes,,In Progress,Talent tree description
robot,Robot,Parts counter visible on Robot tile; both L and R T1 branches unlock a major upgrade at 14 Parts; T4 Fixed BRG-1000 unlocks at 20 Parts; Parts accumulate from upgrades triggered by merges,,,tile,No,Parts count; milestone at 14 Parts unlocks upgrade: +5% crit chance and +25% damage (L) or +5% crit chance (R); milestone at 20 Parts (T4 Fixed) unlocks laser attack with 400%/800% damage vs common/boss monsters,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":14,""weight"":1.0},{""from"":14,""to"":20,""weight"":0.7},{""from"":20,""to"":100,""weight"":0.3}]}",0,50,50,Yes,,In Progress,Talent tree description
sentry,Sentry,R T1 Change of Guard only — cumulative Guard Post placement count; each new Sentry on a Guard Post gives +20% Enhanced Bolt damage; bonus drops sharply to +2% after 9 placements,R,1,tile,Yes,Cumulative Guard Post placement count; each placement +20% Enhanced Bolt damage up to 9 placements; after 9 placements bonus drops to +2% per additional placement; Guard Post tiles rotate every 15s,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":9,""weight"":1.0},{""from"":9,""to"":100,""weight"":0.10}]}",0,30,30,Yes,,In Progress,Talent tree description
zealot,Zealot,R T3 Piety only — relic counter on Zealot tile; relics earned when Zealot receives mana on a neighboring tile (35% chance per event); hard cap at 100 relics,R,3,tile,Yes,Relic of righteousness count; each relic +3 damage points to this Zealot (flat damage); hard cap at 100 relics after which no further relics can be collected,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":100,""weight"":1.0}]}",0,100,100,Yes,,In Progress,Talent tree description
demonologist,Demonologist,R T3 Magical Pact — cumulative field damage stack; only increments on Dark Orb Demonologist merges; each qualifying merge +1.5% field damage to all units; hard cap at 90% (requires ~60 Dark Orb merges); displayed as a percentage on the tile,R,3,tile,Yes,Cumulative field damage bonus from Dark Orb Demonologist merges; each qualifying merge adds +1.5% damage to all units on the field; hard cap at 90% after which additional Dark Orb merges no longer increase the bonus,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":90,""weight"":1.0}]}",0,90,90,Yes,,In Progress,Talent tree screenshots
sea_dog,Sea Dog,Treasure counter tracked in dedicated treasure UI panel; L T1: at 20 treasure a second opponent unit is paralyzed by ghost; T2 L: treasure above max converts to +3% permanent damage per Sea Dog tile; max treasure grows +10 per talent tier,,,tile,No,Treasure count; L T1 milestone at 20 treasure adds second ghost paralysis target; T2 L: overflow treasure grants +3% permanent damage to the Sea Dog that received it; higher treasure count = more paralysis targets and damage conversion from overflow,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":20,""weight"":1.0},{""from"":20,""to"":100,""weight"":0.6}]}",0,80,80,Yes,,In Progress,Talent tree screenshots
sea_dog,Sea Dog,T4 Fixed Cursed Amulet only — amulet piece counter (0 to 4 hard cap); each piece has 10% chance to be buried alongside treasure finds; at 4 pieces the strongest Sea Dog summons a frigate every 20s,Fixed,4,tile,Yes,Amulet piece count (0-4 hard cap); each piece +5% damage to all Sea Dogs; at 4 pieces the strongest Sea Dog summons a frigate every 20s dealing 500% damage per cannonball; every piece is high-value due to the hard cap,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":4,""weight"":1.0}]}",0,4,4,Yes,,In Progress,Talent tree screenshots
twins,Twins,Particle counter fundamental to both L and R branches; L T1: 1 particle per 2 ranks gained from merging; T2 L: +1 particle per different-color merge; R T1: particles from Mana Power-up during balance equal to number of color pairs; T4 Fixed: at 100 charges critical chance bonus doubles,,,tile,No,Particle (charge) count accumulated through merging and balance events; particles power armor-reduction stacking during balance and build toward T4 Fixed milestone; at 100 charges the balance-state critical chance bonus doubles from 2.5% to 5%,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":100,""weight"":1.0},{""from"":100,""to"":500,""weight"":0.3}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
alchemist,Alchemist,Bottom-panel rank sum; more Alchemists at higher ranks = faster collective elixir brewing; all Alchemist elixir counts are shared so total investment drives how quickly the shared milestones are reached,,,bottom_panel,No,Sum of merge ranks across all Alchemist copies on board (e.g. 3x rank 3 = 9); higher total investment = faster collective elixir accumulation toward the shared 50-elixir milestone,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
banshee,Banshee,Bottom-panel rank sum; chain bonus maxes at 6 Banshees on field regardless of rank — rank sum is a proxy for how close the player is to a maxed chain,,,bottom_panel,No,Sum of merge ranks across all Banshee copies on board; damage in chain increases 18% per Banshee up to 6 Banshees; beyond 6 the chain bonus is maxed — rank sum above ~6 means some Banshees are high-ranked which amplifies base damage,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":6,""weight"":1.0},{""from"":6,""to"":42,""weight"":0.4}]}",0,42,42,Yes,,In Progress,Game mechanic
blade_dancer,Blade Dancer,Bottom-panel rank sum; each Blade Dancer individually accumulates flower charges — more Blade Dancers on board = more tiles collecting charges simultaneously,,,bottom_panel,No,Sum of merge ranks across all Blade Dancer copies on board; higher total investment means more Blade Dancers actively accumulating charges toward the 50-flower threshold,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
bruiser,Bruiser,Bottom-panel rank sum; Clover leaves are generated by nearby merges and rank-ups — more Bruisers and higher-ranked ones increase field presence and Clover generation rate,,,bottom_panel,No,Sum of merge ranks across all Bruiser copies on board; higher total investment = more Bruisers on field generating and receiving Clover leaves; Ringleader (T4 Fixed) appears automatically when Bruisers are present,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
cultist,Cultist,Bottom-panel rank sum; each Cultist independently accumulates souls — more Cultists = more soul generation and more units reaching the 20-soul Harbinger or 5-soul guardian thresholds,,,bottom_panel,No,Sum of merge ranks across all Cultist copies on board; more total investment = more simultaneous soul accumulators; multiple Cultists each independently building soul counts amplifies total output,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
demon_hunter,Demon Hunter,Bottom-panel rank sum; total rank investment shown in the Demon Hunter deck icon; reflects how many Demon Hunters are on the board and at what ranks — directly correlates to mark accumulation rate,,,bottom_panel,No,Sum of merge ranks across all Demon Hunter copies on board (e.g. 3x rank 3 = 9; 5x rank 1 = 5); higher total = more Hunters actively gaining marks; marks accumulate per-tile so more Hunters = faster overall mark accumulation,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
engineer,Engineer,Bottom-panel rank sum; chain bonus maxes at 10 Engineers (T3 L) or 13+ Engineers (T3 R); rank sum approximates how many Engineers the player has built toward the chain threshold,,,bottom_panel,No,Sum of merge ranks across all Engineer copies on board; chain damage bonus scales with number of Engineers in chain — max bonus at 10 (T3 L) or 13+ (T3 R); higher rank sum = more Engineers on field = closer to chain cap,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":13,""weight"":1.0},{""from"":13,""to"":49,""weight"":0.3}]}",0,49,49,Yes,,In Progress,Game mechanic
inquisitor,Inquisitor,Bottom-panel rank sum; Inquisitor count thresholds are 4+ for +20% damage / 7+ for +35% crit damage / 10+ for +10% crit chance (R T3 Unity); rank sum approximates Inquisitor count on field,,,bottom_panel,No,Sum of merge ranks across all Inquisitor copies on board; unit-count thresholds at 4 (damage bonus) / 7 (crit damage) / 10 (crit chance) via R T3 Unity; higher rank sum = more Inquisitors on field = closer to or beyond key thresholds,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":10,""weight"":1.0},{""from"":10,""to"":49,""weight"":0.5}]}",0,49,49,Yes,,In Progress,Game mechanic
minotaur,Minotaur,Bottom-panel rank sum; Fury charges are individual to each Minotaur — more Minotaurs on board = more independent Fury accumulators reaching the 300-charge threshold faster,,,bottom_panel,No,Sum of merge ranks across all Minotaur copies on board; each Minotaur individually accumulates Fury charges from merges and rank increases; more Minotaurs = more simultaneous charge accumulators,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
monk,Monk,Bottom-panel rank sum; L branch orbs transfer to the intersection Monk on merge — more Monks at intersections = more efficient orb consolidation; T4 Nirvana requires Monks at intersections to benefit,,,bottom_panel,No,Sum of merge ranks across all Monk copies on board; higher total investment = more Monks on field enabling orb transfers at intersections and T4 critical damage bonuses; L branch especially benefits from multiple high-rank Monks at intersection tiles,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
reaper,Reaper,Bottom-panel rank sum; L branch trophy skulls boost damage for ALL Reapers on the field — more Reapers = more sources of instant kills = faster trophy accumulation and more units benefiting from the shared bonus,,,bottom_panel,No,Sum of merge ranks across all Reaper copies on board; L branch trophy skull bonus applies to all Reapers simultaneously; more Reapers = more instant-kill attempts per wave = faster trophy accumulation,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
tesla,Tesla,Bottom-panel rank sum; each charged Tesla gives +4% damage to ALL Teslas (T3 L High Voltage) — more Teslas = more charges possible = compounding damage bonus; Professor (R T1) scales by his merge rank,,,bottom_panel,No,Sum of merge ranks across all Tesla copies on board; each charged Tesla adds +4% to all Tesla damage; more Teslas on field = more simultaneous charges possible = higher total damage multiplier from T3 L High Voltage,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
treant,Treant,Bottom-panel rank sum; R branch leaf bonus applies to ALL Treants on the field — more rank-4+ Treants = more leaf counters running simultaneously and a higher shared damage multiplier,,,bottom_panel,No,Sum of merge ranks across all Treant copies on board; R branch: each leaf adds +1.5% to ALL Treants' damage so more Treants accumulating leaves = faster shared bonus growth; rank 4+ required for leaf mechanic to activate,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
twins,Twins,Bottom-panel rank sum; balance requires EQUAL numbers of each color — having the right rank sum on each side determines whether balance state triggers and how many particles the Mana Power-up yields,,,bottom_panel,No,Sum of merge ranks across all Twins copies on board (both colors combined); balance state requires equal unit counts of each color — rank sum indicates total investment and how many particles are generated per Mana Power-up during balance,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":28,""weight"":1.0}]}",0,49,49,Yes,,In Progress,Game mechanic
valkyrie,Valkyrie,Bottom-panel rank sum; R T1 Power of the Leaders requires 3 Valkyries to form Leaders; T3 R Unity bonus activates at 5+ Valkyries on field; rank sum approximates the unit count,,,bottom_panel,No,Sum of merge ranks across all Valkyrie copies on board; unit-count thresholds at 3 (Leaders form in R branch) and 5 (T3 R Unity damage bonus activates); higher rank sum = more Valkyries on field = closer to or beyond key activation thresholds,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":5,""weight"":1.0},{""from"":5,""to"":49,""weight"":0.5}]}",0,49,49,Yes,,In Progress,Game mechanic
