ENTITY,,,,,RATING,,,,,CONTEXT,,,,TRACKING,,
Entity ID,Display Name,Entity Type,Talent Build Code,Notes,Tier Letter (S/A/B/C/D),Numeric Score (0-10),Assumed Level,Patch Version,Date Assessed,Role in Meta,Matchup Strengths,Matchup Weaknesses,Justification / Notes,Research Status,Assessor,Last Updated
knight_statue,Knight Statue,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (B) = low-level estimate.,S,8.8,15 (max),35.0,April 2026,Positional support — attack speed/crit,Amplifies adjacent carries massively; count thresholds unlock crit bonus,No damage; position-dependent; requires board coordination,S-tier in decks built around it. A-B tier as a splash support.,In Progress,AI Research,2026-04-06
knight_statue,Knight Statue,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (S) = max level.",B,5,7-9 (no talents),35.0,April 2026,Positional support — attack speed/crit — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. S-tier in decks built around it. A-B tier as a splash support.,In Progress,AI Research,2026-04-06
witch,Witch,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,S,8.7,15 (max),35.0,April 2026,PvP board disruptor,Disrupts opponent merges; forces bad outcomes; Exhaustion amplifies effect,Largely useless in Co-Op; needs opponent to be actively merging,One of the most oppressive PvP units. Counters board-setup carries hard.,In Progress,AI Research,2026-04-06
witch,Witch,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (S) = max level.",C,4,7-9 (no talents),35.0,April 2026,PvP board disruptor — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. One of the most oppressive PvP units. Counters board-setup carries hard.,In Progress,AI Research,2026-04-06
enchanted_sword,Enchanted Sword,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,S,8.5,15 (max),35.0,April 2026,Hybrid DPS/support — buff/debuff,Buffs own units and debuffs opponent on merge; crit synergy with KS decks,Complex blue/red Sword state management; Knight Statue interaction reduces buff 5x,Strong in the right shell. Misunderstood — requires reading the blue/red state.,In Progress,AI Research,2026-04-06
enchanted_sword,Enchanted Sword,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (S) = max level.",C,4,7-9 (no talents),35.0,April 2026,Hybrid DPS/support — buff/debuff — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Strong in the right shell. Misunderstood — requires reading the blue/red state.,In Progress,AI Research,2026-04-06
valkyrie,Valkyrie,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,A,8.2,15 (max),35.0,April 2026,Main carry — sacrifice/rune mechanic,High AoE damage; rune stacking; self-sustaining power growth,Complex mechanic; needs Chosen One management; relatively new unit,Added Update 34.0. Strong A-tier carry with S-tier potential as meta develops.,In Progress,AI Research,2026-04-06
valkyrie,Valkyrie,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,Main carry — sacrifice/rune mechanic — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Added Update 34.0. Strong A-tier carry with S-tier potential as meta develops.,In Progress,AI Research,2026-04-06
demon_hunter,Demon Hunter,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,A,8,15 (max),35.0,April 2026,DPS carry — board-rank scaling,Hits multiple targets; scales to all-enemy attacks at 40 combined rank; has reincarnation,Struggles against bosses that disrupt board; relies on maintaining high combined rank,Ease of use makes it great. Ceiling limited by boss interactions.,In Progress,AI Research,2026-04-06
demon_hunter,Demon Hunter,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",C,4.5,7-9 (no talents),35.0,April 2026,DPS carry — board-rank scaling — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Ease of use makes it great. Ceiling limited by boss interactions.,In Progress,AI Research,2026-04-06
monk,Monk,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,A,8,15 (max),35.0,April 2026,DPS carry — intersection formation,Massive attack speed/damage at intersection; talent cleanses debuffs; reincarnation,Requires specific board formation; hard to set up; weak to board disruption,Extremely powerful when intersection forms. Terrible without it. High skill ceiling.,In Progress,AI Research,2026-04-06
monk,Monk,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",D,2,7-9 (no talents),35.0,April 2026,DPS carry — intersection formation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Extremely powerful when intersection forms. Terrible without it. High skill ceiling.,In Progress,AI Research,2026-04-06
harlequin,Harlequin,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (B) = low-level estimate.,A,7.8,15 (max),35.0,April 2026,Utility support — unit copying,Fixes bad RNG instantly; duplicates key units; works in almost any combo deck,Doesn't copy at full damage; needs good units to copy to be valuable,The deck-glue. Makes every combo deck more consistent. A-tier in virtually all contexts.,In Progress,AI Research,2026-04-06
harlequin,Harlequin,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",B,5.5,7-9 (no talents),35.0,April 2026,Utility support — unit copying — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. The deck-glue. Makes every combo deck more consistent. A-tier in virtually all contexts.,In Progress,AI Research,2026-04-06
robot,Robot,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,A,7.5,15 (max),35.0,April 2026,CC/DPS — stun scaling,Reliable stun; good damage; extremely annoying in PvP; reincarnation,Stun has minimum re-stun interval; less effective against bosses,Robot decks are consistently strong. Reliable and hard to counter.,In Progress,AI Research,2026-04-06
robot,Robot,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",C,4,7-9 (no talents),35.0,April 2026,CC/DPS — stun scaling — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Robot decks are consistently strong. Reliable and hard to counter.,In Progress,AI Research,2026-04-06
spirit_master,Spirit Master,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,A,7.5,15 (max),35.0,April 2026,DPS carry — mana-investment scaling,Scales with mana spent — dominates with mana generation decks; reincarnation,Requires active mana management; weak without mana investment; complex to play,High ceiling in the right deck. Needs infinite mana style builds to shine.,In Progress,AI Research,2026-04-06
spirit_master,Spirit Master,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",D,2,7-9 (no talents),35.0,April 2026,DPS carry — mana-investment scaling — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. High ceiling in the right deck. Needs infinite mana style builds to shine.,In Progress,AI Research,2026-04-06
scrapper,Scrapper,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,A,7.2,15 (max),35.0,April 2026,Board management support,Keeps board clean; upgrades carry ranks; replaces Dryad in some builds; reincarnation,Won't eat other Scrappers; risk of messing up board with extra carry unit,Essential for Inquisitor and Knight Statue decks. Strong general support.,In Progress,AI Research,2026-04-06
scrapper,Scrapper,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",C,4,7-9 (no talents),35.0,April 2026,Board management support — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Essential for Inquisitor and Knight Statue decks. Strong general support.,In Progress,AI Research,2026-04-06
summoner,Summoner,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,A,7,15 (max),35.0,April 2026,Economy support — free unit generation,Summons units at no mana cost on merge; talent can switch types or increase rank; reincarnation,Random summon location and type; can create unwanted board clutter,Board economy value is extremely high in long matches.,In Progress,AI Research,2026-04-06
summoner,Summoner,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",C,4,7-9 (no talents),35.0,April 2026,Economy support — free unit generation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Board economy value is extremely high in long matches.,In Progress,AI Research,2026-04-06
gunslinger,Gunslinger,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,A,7,15 (max),35.0,April 2026,Versatile DPS — mode switching,Shootout mode provides burst damage; dual-mode flexibility; reincarnation,Not as consistent as Bard or Monk; requires Shootout activation for peak DPS,Solid A-tier. Outclassed by top DPS options but reliable.,In Progress,AI Research,2026-04-06
gunslinger,Gunslinger,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",C,4,7-9 (no talents),35.0,April 2026,Versatile DPS — mode switching — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Solid A-tier. Outclassed by top DPS options but reliable.,In Progress,AI Research,2026-04-06
sea_dog,Sea Dog,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,A,6.8,15 (max),35.0,April 2026,DPS/utility — explosive mechanics; reincarnation,Explosive chest and cannonball area damage; unique board pressure,Requires very specific deck build; inflexible,Strong in optimized builds. Weak in generic ones.,In Progress,AI Research,2026-04-06
sea_dog,Sea Dog,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,DPS/utility — explosive mechanics; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Strong in optimized builds. Weak in generic ones.,In Progress,AI Research,2026-04-06
blade_dancer,Blade Dancer,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,A,6.8,15 (max),35.0,April 2026,DPS carry — isolation mechanic; reincarnation,High attack speed and extra blade when isolated; scales with Blade Dancer count,Easily disrupted by Witch/Shaman; requires no adjacent units for full bonus,"Classic carry, still viable. Hard countered by board disruption.",In Progress,AI Research,2026-04-06
blade_dancer,Blade Dancer,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",C,4,7-9 (no talents),35.0,April 2026,DPS carry — isolation mechanic; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. Classic carry, still viable. Hard countered by board disruption.",In Progress,AI Research,2026-04-06
cultist,Cultist,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,A,6.8,15 (max),35.0,April 2026,DPS carry — cross formation; reincarnation,Massive AoE in cross formation; Sacrifice ability returns mana; crit bonus,Requires cross formation — extremely hard to set up; Bedlam/Tribunal destroys it,Top-tier ceiling but lowest floor. Only strong in perfect conditions.,In Progress,AI Research,2026-04-06
cultist,Cultist,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (A) = max level.",D,2,7-9 (no talents),35.0,April 2026,DPS carry — cross formation; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Top-tier ceiling but lowest floor. Only strong in perfect conditions.,In Progress,AI Research,2026-04-06
inquisitor,Inquisitor,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,B,6.5,15 (max),35.0,April 2026,DPS carry — hit-scaling + board count; reincarnation,Damage scales to 500% with consecutive hits; 1/4/7 board count bonuses; AoE,Nerfed — no longer S-tier; disrupted by rank reduction abilities,Formerly meta-defining. Still strong but requires more setup.,In Progress,AI Research,2026-04-06
inquisitor,Inquisitor,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",C,4,7-9 (no talents),35.0,April 2026,DPS carry — hit-scaling + board count; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Formerly meta-defining. Still strong but requires more setup.,In Progress,AI Research,2026-04-06
bruiser,Bruiser,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,B,6.2,15 (max),35.0,April 2026,DPS carry — rage mechanic; reincarnation,High damage when enraged; AoE attacks; good burst window,Enrage is inconsistent — only triggers at 5+ monsters; 3s cooldown after enrage ends,"High ceiling, inconsistent. Tier depends heavily on wave pressure.",In Progress,AI Research,2026-04-06
bruiser,Bruiser,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,DPS carry — rage mechanic; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. High ceiling, inconsistent. Tier depends heavily on wave pressure.",In Progress,AI Research,2026-04-06
crystalmancer,Crystalmancer,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,B,6.2,15 (max),35.0,April 2026,DPS — hit-stacking on single target,With High Arcanist talents rivals A-tier legendaries; strong vs high-health targets,Capped at 800% damage; poor vs waves of low-health monsters; needs time on target,Best non-legendary DPS option at max talent. Strong B-tier.,In Progress,AI Research,2026-04-06
crystalmancer,Crystalmancer,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",C,4,7-9 (no talents),35.0,April 2026,DPS — hit-stacking on single target — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Best non-legendary DPS option at max talent. Strong B-tier.,In Progress,AI Research,2026-04-06
engineer,Engineer,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,B,5.8,15 (max),35.0,April 2026,DPS — chain formation,Best non-legendary consistent DPS option; chain bonus significant,Requires adjacent Engineers for chain bonus; vulnerable to board disruption,Event buff (Update 35.0 Supremacy Tournament) provides niche use. Good mid-game option.,In Progress,AI Research,2026-04-06
engineer,Engineer,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",C,4,7-9 (no talents),35.0,April 2026,DPS — chain formation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Event buff (Update 35.0 Supremacy Tournament) provides niche use. Good mid-game option.,In Progress,AI Research,2026-04-06
trapper,Trapper,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,B,5.8,15 (max),35.0,April 2026,CC — slowing traps + reincarnation,Good slow and trap damage; Huntmaster form adds Mantrap crit bonus; reincarnation,Less impactful than Frost or Stasis in pure CC role without talents,"With Huntmaster talents, strong CC contribution. Gets better with investment.",In Progress,AI Research,2026-04-06
trapper,Trapper,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",C,4,7-9 (no talents),35.0,April 2026,CC — slowing traps + reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. With Huntmaster talents, strong CC contribution. Gets better with investment.",In Progress,AI Research,2026-04-06
minotaur,Minotaur,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,B,5.5,15 (max),35.0,April 2026,Support — summon blocker; reincarnation,Spawns blocking Minotaurs; area damage; niche board control,Very specific deck requirements; hard to build around effectively,Niche B-tier. Useful in specific Co-Op builds.,In Progress,AI Research,2026-04-06
minotaur,Minotaur,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,Support — summon blocker; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Niche B-tier. Useful in specific Co-Op builds.,In Progress,AI Research,2026-04-06
tesla,Tesla,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,B,5.5,15 (max),35.0,April 2026,DPS — chain lightning; reincarnation,Chain lightning hits multiple targets; good AoE; reincarnation,Requires spending money or event tokens to level efficiently,Artificially gated by progression cost. Strong at max level.,In Progress,AI Research,2026-04-06
tesla,Tesla,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",D,2,7-9 (no talents),35.0,April 2026,DPS — chain lightning; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Artificially gated by progression cost. Strong at max level.,In Progress,AI Research,2026-04-06
meteor,Meteor,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,B,5.5,15 (max),35.0,April 2026,DPS — high burst; reincarnation,Massive single-hit damage; useful vs high-health bosses,Long attack interval; needs skill to time effectively,High skill cap. Strong in right hands.,In Progress,AI Research,2026-04-06
meteor,Meteor,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,DPS — high burst; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. High skill cap. Strong in right hands.,In Progress,AI Research,2026-04-06
chemist,Chemist,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (B) = low-level estimate.,B,5.5,15 (max),35.0,April 2026,Debuff support — armor reduction,Armor destruction significantly amplifies all DPS on target; vital for boss damage,No damage output; needs other units to exploit the debuff,One of the most consistent B-tier picks. Vital in many competitive decks.,In Progress,AI Research,2026-04-06
chemist,Chemist,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (B) = max level.",B,5,7-9 (no talents),35.0,April 2026,Debuff support — armor reduction — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. One of the most consistent B-tier picks. Vital in many competitive decks.,In Progress,AI Research,2026-04-06
riding_hood,Red Riding Hood,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,C,5,15 (max),35.0,April 2026,DPS — situational; reincarnation,Strong vs wolf-type monsters and bosses,Very situational; weak vs non-wolf targets,"Niche use. Strong in specific events, weak in general PvP.",In Progress,AI Research,2026-04-06
riding_hood,Red Riding Hood,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",D,2,7-9 (no talents),35.0,April 2026,DPS — situational; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. Niche use. Strong in specific events, weak in general PvP.",In Progress,AI Research,2026-04-06
frost,Frost,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,5,15 (max),35.0,April 2026,CC — AoE slow + DoT; reincarnation,Area slow via Blizzard; Frostbite stacking damage; AoE pressure,Lower priority than Witch/Shaman in PvP disruption role,Solid CC option. Good in Co-Op. Overshadowed by better CC in PvP.,In Progress,AI Research,2026-04-06
frost,Frost,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,4,7-9 (no talents),35.0,April 2026,CC — AoE slow + DoT; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Solid CC option. Good in Co-Op. Overshadowed by better CC in PvP.,In Progress,AI Research,2026-04-06
plague_doctor,Plague Doctor,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,4.8,15 (max),35.0,April 2026,CC — death cloud,Good area denial via poison clouds; effective with high-density waves,Cannot deal direct damage; dependent on other units to kill infected enemies,"Consistent C-tier. Strong in Co-Op, limited in PvP.",In Progress,AI Research,2026-04-06
plague_doctor,Plague Doctor,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,4,7-9 (no talents),35.0,April 2026,CC — death cloud — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. Consistent C-tier. Strong in Co-Op, limited in PvP.",In Progress,AI Research,2026-04-06
boreas,Boreas,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,4.8,15 (max),35.0,April 2026,DPS — phase cycling; reincarnation,Periodic crit phase provides burst; high-speed phase consistent DPS,Simple mechanic limited ceiling; overshadowed by modern carries,Reliable but no longer competitive at high trophy levels.,In Progress,AI Research,2026-04-06
boreas,Boreas,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,4,7-9 (no talents),35.0,April 2026,DPS — phase cycling; reincarnation — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Reliable but no longer competitive at high trophy levels.,In Progress,AI Research,2026-04-06
hex,Hex,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,4.5,15 (max),35.0,April 2026,Utility — instant-kill enabler,Adds instant-kill chance to all adjacent units; synergizes with Inquisitor,Passive — no direct damage; relies entirely on adjacent units to benefit,Niche support. Best with Inquisitor stacking builds.,In Progress,AI Research,2026-04-06
hex,Hex,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,3.5,7-9 (no talents),35.0,April 2026,Utility — instant-kill enabler — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Niche support. Best with Inquisitor stacking builds.,In Progress,AI Research,2026-04-06
portal_mage,Portal Mage,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,4.5,15 (max),35.0,April 2026,CC — monster repositioning,"Sends monsters backward on path, buying time for damage dealers",Limited impact vs high-wave-count bosses; situational,Useful in specific anti-boss strategies.,In Progress,AI Research,2026-04-06
portal_mage,Portal Mage,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (C) = max level.",C,3.5,7-9 (no talents),35.0,April 2026,CC — monster repositioning — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Useful in specific anti-boss strategies.,In Progress,AI Research,2026-04-06
gargoyle,Gargoyle,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,C,4.3,15 (max),35.0,April 2026,DPS — stone form proc,Stone form provides invulnerability and boosts adjacent Gargoyles,Probabilistic — unreliable stone form activation,Fun mechanic but inconsistent. C-tier in most metas.,In Progress,AI Research,2026-04-06
